Region,Serpo,Name,Username,Password
NSRO (North Sumatera),Medan Inner 1,MedanInner1,MedanInner1@mandau.id,123321
NSRO (North Sumatera),Medan Inner 2,MedanInner2,MedanInner2@mandau.id,123321
NSRO (North Sumatera),Padang Sidempuan,PadangSidempuan,PadangSidempuan@mandau.id,123321
NSRO (North Sumatera),Seribu Dolok,SeribuDolok,SeribuDolok@mandau.id,123321
NSRO (North Sumatera),Subulussalam,Subulussalam,Subulussalam@mandau.id,123321
NSRO (North Sumatera),Ujung Tanjung,UjungTanjung,UjungTanjung@mandau.id,123321
NSRO (North Sumatera),Dumai,Dumai,Dumai@mandau.id,123321
NSRO (North Sumatera),Aster,Aster,Aster@mandau.id,123321
NSRO (North Sumatera),Kandis/Duri,Kandis_Duri,Kandis_Duri@mandau.id,123321
NSRO (North Sumatera),Pekanbaru BB,PekanbaruBB,PekanbaruBB@mandau.id,123321
NSRO (North Sumatera),Pekanbaru Inner,PekanbaruInner,PekanbaruInner@mandau.id,123321
NSRO (North Sumatera),Rengat,Rengat,Rengat@mandau.id,123321
NSRO (North Sumatera),Payakumbuh,Payakumbuh,Payakumbuh@mandau.id,123321
NSRO (North Sumatera),Padang,Padang,Padang@mandau.id,123321
NSRO (North Sumatera),Solok,Solok,Solok@mandau.id,123321
NSRO (North Sumatera),Bawan,Bawan,Bawan@mandau.id,123321
NSRO (North Sumatera),Panti,Panti,Panti@mandau.id,123321
NSRO (North Sumatera),Bukit Tinggi,BukitTinggi,BukitTinggi@mandau.id,123321
JBRO (Jabo+Sukabumi),Bekasi Barat,BekasiBarat,BekasiBarat@mandau.id,123321
JBRO (Jabo+Sukabumi),Bekasi Utara,BekasiUtara,BekasiUtara@mandau.id,123321
JBRO (Jabo+Sukabumi),Bogor Barat,BogorBarat,BogorBarat@mandau.id,123321
JBRO (Jabo+Sukabumi),Cikarang,Cikarang,Cikarang@mandau.id,123321
JBRO (Jabo+Sukabumi),Karawang Barat,KarawangBarat,KarawangBarat@mandau.id,123321
JBRO (Jabo+Sukabumi),Sukabumi Barat,SukabumiBarat,SukabumiBarat@mandau.id,123321
JBRO (Jabo+Sukabumi),Pandeglang,Pandeglang,Pandeglang@mandau.id,123321
JBRO (Jabo+Sukabumi),Serang Barat,SerangBarat,SerangBarat@mandau.id,123321
JBRO (Jabo+Sukabumi),Serang Timur,SerangTimur,SerangTimur@mandau.id,123321
JBRO (Jabo+Sukabumi),Anyer,Anyer,Anyer@mandau.id,123321
JBRO (Jabo+Sukabumi),Cilegon,Cilegon,Cilegon@mandau.id,123321
JBRO (Jabo+Sukabumi),Tangerang Inner,TangerangInner,TangerangInner@mandau.id,123321
JBRO (Jabo+Sukabumi),Tangerang Utara,TangerangUtara,TangerangUtara@mandau.id,123321
JBRO (Jabo+Sukabumi),Bekasi Selatan,BekasiSelatan,BekasiSelatan@mandau.id,123321
JBRO (Jabo+Sukabumi),Bogor Timur,BogorTimur,BogorTimur@mandau.id,123321
JBRO (Jabo+Sukabumi),Depok Outer,DepokOuter,DepokOuter@mandau.id,123321
JBRO (Jabo+Sukabumi),Depok Inner,DepokInner,DepokInner@mandau.id,123321
JBRO (Jabo+Sukabumi),Jakarta Selatan,JakartaSelatan,JakartaSelatan@mandau.id,123321
